#         KIC          Pr>0          Pr<0
     003427720        56.878        43.122
     003656476        98.296         1.704
     003735871        72.539        27.461
     004914923         0.000       100.000
     005184732         0.000       100.000
     005950854        95.181         4.819
     006106415         0.000       100.000
     006116048         0.000       100.000
     006225718         0.000       100.000
     006603624        94.143         5.857
     006933899         0.000       100.000
     007106245        48.612        51.388
     007296438        94.417         5.583
     007510397         0.000       100.000
     007680114        99.378         0.622
     007871531        31.638        68.362
     007970740         1.806        98.194
     008006161         0.006        99.994
     008150065        91.613         8.387
     008179536        98.533         1.467
     008228742         0.000       100.000
     008379927         0.000       100.000
     008394589        99.900         0.100
     008424992        24.821        75.179
     008694723         0.000       100.000
     008760414         0.000       100.000
     008938364        80.161        19.839
     009025370        47.584        52.416
     009098294        83.387        16.613
     009139151        81.862        18.138
     009410862        87.387        12.613
     009955598        18.844        81.156
     009965715        89.544        10.456
     010068307         0.000       100.000
     010079226        62.543        37.457
     010454113         0.000       100.000
     010516096        99.996         0.004
     010963065         0.000       100.000
     011772920        19.812        80.188
     012009504        96.512         3.488
     012069424        96.238         3.762
     012069449         0.034        99.966
     012258514         0.000       100.000
