# WARNING 10644253 was added from my runs, but was not published
# KIC            med_a1         med_a1 - 1s    med_a1 + 1s      med_a3         med_a1 - 1s      med_a1 + 1s
010644253       442.50028       130.50012       1422.0008       0.000000000    0.000000000      0.0000000
003427720       337.72559       187.74508       691.84623      -46.665502      -85.332738       27.668924
003656476       239.20050       198.34067       310.70520       2.9988380      -24.667053       27.664813
003735871       828.47428       657.97414       1049.9030       48.342005      -3.3212300       83.339680
004914923       563.95417       454.83106       661.38551       6.4606790      -12.686733       22.944103
005184732       552.08401       496.33348       612.05806       40.024262       9.0356050       74.011821
005950854       375.00264       120.83424       1670.8448      -6.1649810      -36.831677       31.668389
006106415       722.57683       681.44482       760.07954      -5.8507350      -31.173279       20.471384
006116048       649.19798       573.55932       703.73455       16.750789      -18.031523       68.372538
006225718       1141.3124       988.54702       1367.0402       79.212399       57.219585       101.20521
006603624       291.43708       108.26586       1373.8124       16.005172      -22.490337       40.335668
006933899       333.27053       294.26387       373.99806       7.5071810      -27.322900       34.837962
007106245       779.60346       273.27119       1462.4858       3.6696190      -64.997661       69.336872
007296438       646.67691       183.36235       1006.6623       43.341539      -27.987179       83.005639
007510397       1532.8920       1406.5250       1691.4702       161.78659       120.80559       203.80507
007680114       482.84940       298.37577       665.04559       49.670160      -5.9974650       77.670641
007871531       422.53293       362.24754       465.08733      -28.635948      -57.293677       46.007439
007970740       321.82380       274.39857       371.00551      -8.6632360      -29.829304       17.669353
008006161       561.10081       493.66840       631.99129       28.562699       16.388589       40.580731
008150065       649.26882       382.91220       1148.6875       8.3373290      -58.326879       69.001759
008179536       1984.4988       1772.6739       2152.4088       34.518320      -15.937363       82.476198
008228742       903.41985       554.21165       1131.0682       23.980750      -11.346089       52.642148
008379927       1179.7059       1122.8096       1228.6863       53.638911       28.315488       82.127762
008394589       1065.9518       996.08814       1126.7422       13.669878      -24.327584       49.000851
008424992       370.83644       166.67918       849.98102       24.671357      -46.655640       73.333701
008694723       1679.2095       1557.1270       1790.9461       76.465000       48.855874       101.80043
008760414       430.00176       112.51665       1052.4726       9.6782970      -58.983434       68.340747
008938364       229.12664       87.487037       970.65160      -3.6611360      -59.994089       57.671782
009025370       469.05334       397.03685       555.84245       100.64495       42.663506       153.29478
009098294       472.98624       372.05641       621.01666      -16.660012      -54.993279       15.673265
009139151       974.47844       878.02225       1072.0184       114.04475       69.740850       162.31615
009410862       683.11352       358.42039       1249.2451      -34.000531      -79.663053       31.993478
009955598       382.87512       298.35351       462.94823       33.512189       9.5785950       68.415347
009965715       1967.2428       1878.5551       2050.7891       47.586563       13.776865       81.859408
010068307       866.81688       712.76911       978.71950       24.464693       3.9002710       46.498002
010079226       672.88095       571.86669       878.06616       11.005311      -57.324707       70.002448
010454113       1351.7333       1104.2187       1659.1306      -14.054880      -61.340045       32.897291
010516096       483.13774       421.08649       547.25737       25.005375      -30.994828       73.005549
010963065       1011.3831       913.41739       1106.7012       19.745025       1.3819180       37.205028
011772920       314.87494       253.01670       374.60014       23.009775      -30.987966       73.341003
012009504       1211.1656       1138.0187       1275.6046      -4.3084740      -43.632709       34.682505
012069449       469.44826       347.18068       575.82105       12.523955      -1.5449950       25.420492
012258514       815.70192       527.83891       1003.2490       42.818717       15.227697       67.417940
