   2 10666592 1.300 0.055 1.879 0.018 0.276 0.001 4.004 0.003 5.096 0.291  2.791 0.524 0.317 0.011 0.0239 0.0043 1.72 0.13
   5  8554498 1.310 0.038 1.825 0.018 0.303 0.001 4.032 0.005 3.444 0.190  4.559 0.597 0.243 0.011 0.0255 0.0032 1.44 0.09
   7 11853905 1.140 0.017 1.553 0.016 0.428 0.008 4.112 0.007 2.435 0.185  6.132 0.303 0.268 0.012 0.0217 0.0027 1.62 0.12
  41  6521045 1.090 0.018 1.501 0.013 0.454 0.008 4.123 0.005 2.337 0.129  7.165 0.423 0.265 0.010 0.0184 0.0012 1.78 0.07
  42  8866102 1.260 0.032 1.363 0.014 0.701 0.004 4.269 0.003 2.626 0.137  2.010 0.468 0.257 0.012 0.0184 0.0015 1.82 0.09
  69  3544595 0.890 0.022 0.911 0.008 1.656 0.004 4.468 0.003 0.771 0.043  6.941 0.539 0.262 0.014 0.0117 0.0015 1.86 0.12
  72 11904151 0.880 0.015 1.048 0.009 1.076 0.009 4.341 0.005 1.013 0.036 10.671 0.749 0.272 0.011 0.0125 0.0009 1.68 0.09
  85  5866724 1.280 0.048 1.422 0.017 0.627 0.005 4.239 0.006 2.615 0.105  2.666 0.451 0.255 0.017 0.0224 0.0026 1.82 0.10
 108  4914423 1.170 0.048 1.481 0.021 0.507 0.005 4.165 0.007 2.298 0.153  6.912 1.161 0.246 0.013 0.0239 0.0029 1.96 0.13
 122  8349582 1.140 0.036 1.440 0.014 0.538 0.004 4.178 0.006 1.990 0.110  8.390 0.990 0.265 0.015 0.0340 0.0045 2.12 0.16
 123  5094751 0.950 0.019 1.274 0.013 0.647 0.006 4.205 0.005 1.807 0.135  5.767 0.312 0.316 0.016 0.0121 0.0011 1.44 0.05
 244  4349452 1.200 0.029 1.311 0.016 0.751 0.010 4.282 0.009 2.392 0.135  2.729 0.717 0.256 0.013 0.0162 0.0014 1.94 0.13
 245  8478994 0.820 0.010 0.775 0.006 2.484 0.011 4.573 0.005 0.465 0.027  5.155 0.536 0.248 0.006 0.0088 0.0007 1.94 0.09
 246 11295426 1.110 0.019 1.255 0.007 0.791 0.004 4.286 0.003 1.528 0.082  7.087 0.451 0.245 0.007 0.0239 0.0016 1.84 0.07
 260  8292840 1.110 0.039 1.316 0.021 0.687 0.015 4.245 0.007 2.357 0.163  3.037 0.510 0.283 0.020 0.0125 0.0021 1.62 0.14
 262 11807274 1.260 0.051 1.567 0.021 0.461 0.069 4.148 0.070 3.340 0.186  2.580 0.491 0.279 0.017 0.0173 0.0017 1.64 0.11
 263 10514430 1.170 0.039 1.641 0.018 0.373 0.002 4.076 0.006 2.745 0.188  7.617 1.546 0.234 0.012 0.0203 0.0027 2.02 0.13
 268  3425851 1.120 0.054 1.316 0.019 0.692 0.007 4.249 0.009 2.515 0.153  2.151 0.564 0.315 0.020 0.0147 0.0022 1.62 0.09
 269  7670943 1.260 0.054 1.439 0.019 0.596 0.008 4.222 0.008 3.283 0.240  2.820 0.725 0.284 0.018 0.0191 0.0031 2.68 0.18
 274  8077137 1.200 0.045 1.664 0.022 0.367 0.004 4.075 0.007 3.428 0.192  4.869 0.469 0.250 0.015 0.0157 0.0019 1.84 0.12
 275 10586004 1.270 0.056 1.696 0.038 0.367 0.015 4.083 0.017 2.903 0.212  6.167 1.328 0.258 0.024 0.0352 0.0080 2.04 0.24
 276 11133306 1.050 0.027 1.178 0.010 0.905 0.005 4.317 0.005 1.574 0.091  5.899 0.701 0.260 0.014 0.0162 0.0021 1.96 0.15
 277 11401755 1.040 0.046 1.606 0.021 0.354 0.016 4.043 0.007 2.721 0.145  7.122 1.131 0.258 0.013 0.0107 0.0014 1.52 0.15
 280  4141376 0.890 0.046 0.989 0.021 1.299 0.042 4.397 0.012 1.248 0.092  5.020 1.409 0.313 0.021 0.0094 0.0015 1.96 0.20
 281  4143755 0.890 0.043 1.392 0.014 0.464 0.012 4.100 0.009 1.758 0.141 11.131 1.808 0.267 0.019 0.0085 0.0023 1.36 0.12
 285  6196457 1.190 0.044 1.710 0.052 0.335 0.020 4.047 0.013 3.195 0.283  6.118 0.791 0.266 0.018 0.0231 0.0036 2.10 0.15
 288  9592705 1.470 0.020 2.095 0.060 0.225 0.017 3.963 0.024 5.703 0.479  2.420 0.227 0.288 0.014 0.0272 0.0034 1.78 0.08
 319  8684730 1.300 0.066 2.056 0.034 0.211 0.003 3.926 0.009 4.503 0.305  4.641 0.972 0.255 0.018 0.0217 0.0035 1.88 0.30
 370  8494142 1.180 0.044 1.778 0.015 0.296 0.008 4.010 0.007 3.995 0.288  3.950 0.494 0.319 0.013 0.0217 0.0021 1.90 0.13
 974  9414417 1.340 0.028 1.878 0.015 0.285 0.003 4.017 0.004 4.766 0.241  2.856 0.361 0.251 0.015 0.0129 0.0018 1.68 0.09
 975  3632418 1.320 0.017 1.851 0.029 0.293 0.012 4.023 0.010 4.367 0.187  3.077 0.314 0.246 0.012 0.0129 0.0015 1.56 0.10
1612 10963065 1.060 0.023 1.216 0.010 0.831 0.006 4.293 0.005 1.839 0.095  4.676 0.488 0.250 0.013 0.0110 0.0015 1.76 0.12
1925  9955598 0.920 0.014 0.893 0.005 1.819 0.004 4.500 0.002 0.637 0.036  6.928 0.512 0.269 0.014 0.0210 0.0030 2.02 0.09
3158  6278762 0.750 0.004 0.750 0.002 2.501 0.004 4.562 0.001 0.359 0.021 11.680 0.828 0.238 0.007 0.0077 0.0009 1.72 0.08
