#This is a composite table that regroup several relevant informations for the analysis of the rotation and its link to stellar activity,,,,,,,,,,,,,,,,,,,,,,
"#  For Teff and Metallicity, we keep them in this order of priority: Pinsonneault2012, Silva-Aguirre2015, Davies2015",,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
#Primary variables,,-,-,-,-,-,-,-,-,-,-,-,-,Secondary variables,-,-,-,-,-,-,-,-
KIC,Teff_SDSS,Tot_eTeff,random_eTeff,Teff_IRFM,Tot_eTeff,random_eTeff,Teff_KIC,logg_KIC,[Fe/H]_KIC,e_metal,Teff_corr,Quality_flag,Data Source,    Age/Gyr,err,M/Msun,err,  R/Rsun  ,err,rho/rhosun,err,source
1435467,6433,86,81,6371,161,160,6570,4.02,-0.25,0,0,,Pinsonnault2012,2.03,-9999,1.396,-9999,1.712,-9999,0.2789,-9999,Bellinger2019
2837475,6688,57,54,6795,209,208,6444,4.07,-0.06,0,0,,Pinsonnault2012,1.34,-9999,1.455,-9999,1.638,-9999,0.331,-9999,Bellinger2019
3425851,6343,85,0,-9999,0,0,-9999,0,-0.04,0.1,,,Silva-Aguirre2015,3.77,-9999,1.145,-9999,1.354,-9999,0.4625,-9999,Bellinger2019
3427720,6023,51,34,6303,140,140,5780,4.44,-0.37,0,0,,Pinsonnault2012,2.34,-9999,1.108,-9999,1.121,-9999,0.7904,-9999,Bellinger2019
3456181,6732,91,65,6554,187,183,6361,3.54,-0.66,0,0,,Pinsonnault2012,2.62,-9999,1.428,-9999,2.125,-9999,0.1489,-9999,Bellinger2019
3544595,5648,59,37,5674,121,120,5480,4.43,-0.05,0,0,,Pinsonnault2012,6.63,-9999,0.885,-9999,0.924,-9999,1.128,-9999,Bellinger2019
3632418,6305,50,0,-9999,0,0,-9999,0,-0.03,0.1,,,Silva-Aguirre2015,3.4,-9999,1.271,-9999,1.849,-9999,0.2008,-9999,Bellinger2019
3656476,5684,56,32,5786,137,136,5424,4.47,-0.6,0,0,,Pinsonnault2012,9.16,-9999,1.079,-9999,1.318,-9999,0.4749,-9999,Bellinger2019
3735871,6176,50,36,6430,181,180,6357,4.2,-0.37,0,0,,Pinsonnault2012,1.81,-9999,1.108,-9999,1.109,-9999,0.816,-9999,Bellinger2019
4141376,6314,62,37,6364,149,147,6435,4.22,-0.32,0,0,,Pinsonnault2012,3.48,-9999,0.993,-9999,1.038,-9999,0.897,-9999,Bellinger2019
4143755,6090,93,63,5887,142,138,5699,3.89,-1.32,0,0,,Pinsonnault2012,10.56,-9999,0.898,-9999,1.414,-9999,0.3211,-9999,Bellinger2019
4349452,6270,79,0,-9999,0,0,-9999,0,-0.04,0.1,,,Silva-Aguirre2015,2.47,-9999,1.206,-9999,1.312,-9999,0.535,-9999,Bellinger2019
4914423,6146,80,57,6175,142,139,5872,4.36,-0.1,0,0,,Pinsonnault2012,5.6,-9999,1.117,-9999,1.468,-9999,0.3546,-9999,Bellinger2019
4914923,5905,84,0,-9999,0,0,-9999,0,0,0,0,,Pinsonnault2012,6.37,-9999,1.123,-9999,1.388,-9999,0.4207,-9999,Bellinger2019
5094751,6151,77,50,6232,137,133,5897,4.29,-0.05,0,0,,Pinsonnault2012,5.63,-9999,1.072,-9999,1.353,-9999,0.4346,-9999,Bellinger2019
5184732,5841,290,287,6137,131,131,5599,4.31,-0.09,0,1,,Pinsonnault2012,4.84,-9999,1.205,-9999,1.3427,-9999,0.5034,-9999,Bellinger2019
5773345,6214,61,56,6200,133,132,6009,4.27,0.08,0,0,,Pinsonnault2012,2.24,-9999,1.51,-9999,2.017,-9999,0.1841,-9999,Bellinger2019
5866724,6266,62,40,6467,140,138,6006,4.07,-0.05,0,0,,Pinsonnault2012,2.53,-9999,1.273,-9999,1.423,-9999,0.4434,-9999,Bellinger2019
5950854,5913,61,37,6148,146,145,5713,4.35,-0.26,0,0,,Pinsonnault2012,9.8,-9999,0.984,-9999,1.236,-9999,0.524,-9999,Bellinger2019
6106415,6035,19,0,-9999,0,0,-9999,0,0,0,0,,Pinsonnault2012,4.98,-9999,1.069,-9999,1.219,-9999,0.596,-9999,Bellinger2019
6116048,6072,49,36,6050,239,238,5863,4.32,-0.07,0,0,,Pinsonnault2012,6.8,-9999,1.002,-9999,1.218,-9999,0.5602,-9999,Bellinger2019
6196457,5871,94,0,-9999,0,0,-9999,0,0.17,0.11,0,,Silva-Aguirre2015,4.5,-9999,1.268,-9999,1.756,-9999,0.2359,-9999,Bellinger2019
6225718,6250,70,0,-9999,0,0,-9999,0,0,0,0,,Pinsonnault2012,3.02,-9999,1.156,-9999,1.234,-9999,0.623,-9999,Bellinger2019
6278762,5046,74,0,-9999,0,0,-9999,0,-0.37,0.09,0,,Silva-Aguirre2015,10.9,-9999,0.753,-9999,0.759,-9999,1.741,-9999,Bellinger2019
6508366,6499,46,40,6635,183,182,6271,4.14,-0.21,0,0,,Pinsonnault2012,2.49,-9999,1.492,-9999,2.177,-9999,0.1446,-9999,Bellinger2019
6521045,5931,62,41,6125,129,128,5692,4.51,-0.12,0,0,,Pinsonnault2012,6.44,-9999,1.091,-9999,1.525,-9999,0.309,-9999,Bellinger2019
6603624,5612,66,48,5883,162,162,5416,4.38,-0.06,0,0,,Pinsonnault2012,7.77,-9999,1.065,-9999,1.173,-9999,0.668,-9999,Bellinger2019
6679371,6598,59,55,6672,218,218,6313,4.07,-0.17,0,0,,Pinsonnault2012,2.13,-9999,1.57,-9999,2.222,-9999,0.1432,-9999,Bellinger2019
6933899,5841,56,36,6014,144,143,5616,4.25,-0.09,0,0,,Pinsonnault2012,6.61,-9999,1.104,-9999,1.599,-9999,0.2712,-9999,Bellinger2019
7103006,6421,51,47,6575,171,171,6203,4.26,-0.01,0,0,,Pinsonnault2012,2.09,-9999,1.482,-9999,1.954,-9999,0.1985,-9999,Bellinger2019
7106245,6074,54,35,6083,129,128,5812,4.32,-0.32,0,0,,Pinsonnault2012,8.36,-9999,0.851,-9999,1.048,-9999,0.752,-9999,Bellinger2019
7199397,6014,55,34,6160,122,121,5718,4.4,-0.5,0,0,,Pinsonnault2012,3.63,-9999,1.308,-9999,2.526,-9999,0.0821,-9999,Bellinger2019
7206837,6392,59,50,6438,140,140,6100,4.15,-0.23,0,0,,Pinsonnault2012,1.8,-9999,1.4,-9999,1.584,-9999,0.3516,-9999,Bellinger2019
7296438,5749,56,37,5940,199,199,5551,4.45,-0.09,0,0,,Pinsonnault2012,6.6,-9999,1.158,-9999,1.405,-9999,0.4187,-9999,Bellinger2019
7510397,6211,67,61,6388,215,214,5972,4.13,-0.35,0,0,,Pinsonnault2012,3.97,-9999,1.206,-9999,1.784,-9999,0.2127,-9999,Bellinger2019
7670943,6522,63,41,6721,144,141,6258,4.12,-0.23,0,0,,Pinsonnault2012,2.36,-9999,1.309,-9999,1.447,-9999,0.4336,-9999,Bellinger2019
7680114,5800,56,34,5954,189,189,5578,4.63,-0.33,0,0,,Pinsonnault2012,7.57,-9999,1.108,-9999,1.411,-9999,0.398,-9999,Bellinger2019
7771282,6407,74,39,6479,147,143,6083,3.79,-0.63,0,0,,Pinsonnault2012,3.28,-9999,1.353,-9999,1.681,-9999,0.2866,-9999,Bellinger2019
7871531,5378,57,27,5438,120,119,5153,4.16,-0.44,0,0,,Pinsonnault2012,9.34,-9999,0.83,-9999,0.87,-9999,1.274,-9999,Bellinger2019
7940546,6350,111,110,6461,142,142,5987,4.17,-0.14,0,0,,Pinsonnault2012,2.8,-9999,1.317,-9999,1.899,-9999,0.1924,-9999,Bellinger2019
7970740,5394,56,28,5511,125,125,5231,4.41,-0.18,0,0,,Pinsonnault2012,10.67,-9999,0.76,-9999,0.782,-9999,1.61,-9999,Bellinger2019
8006161,5264,104,90,5587,130,130,5184,3.63,0.36,0,0,,Pinsonnault2012,4.75,-9999,1.004,-9999,0.935,-9999,1.2,-9999,Bellinger2019
8077137,6248,67,53,6412,132,130,6013,4.37,-0.05,0,0,,Pinsonnault2012,4.48,-9999,1.15,-9999,1.638,-9999,0.2626,-9999,Bellinger2019
8150065,6265,58,44,6136,132,131,6023,4.29,-0.07,0,0,,Pinsonnault2012,3.28,-9999,1.196,-9999,1.393,-9999,0.445,-9999,Bellinger2019
8179536,6418,50,41,6559,134,133,6163,4.12,-0.2,0,0,,Pinsonnault2012,1.84,-9999,1.248,-9999,1.353,-9999,0.5039,-9999,Bellinger2019
8228742,6130,51,37,6339,193,192,5858,3.97,-0.26,0,0,,Pinsonnault2012,4.42,-9999,1.221,-9999,1.791,-9999,0.2128,-9999,Bellinger2019
8292840,6239,94,0,-9999,0,0,-9999,0,-0.14,0.1,0,,Silva-Aguirre2015,2.79,-9999,1.099,-9999,1.321,-9999,0.4789,-9999,Bellinger2019
8349582,5806,69,47,5700,123,122,5569,4.58,-0.14,0,0,,Pinsonnault2012,8.68,-9999,1.144,-9999,1.452,-9999,0.3,-9999,Bellinger2019
8379927,6034,74,66,6067,147,147,5763,4.24,-0.1,0,0,,Pinsonnault2012,1.84,-9999,1.105,-9999,1.122,-9999,0.79,-9999,Bellinger2019
8394589,6251,54,37,6146,143,141,5938,3.82,-0.33,0,0,,Pinsonnault2012,4.2,-9999,1.024,-9999,1.153,-9999,0.673,-9999,Bellinger2019
8424992,5807,57,35,6014,160,160,5557,4.43,-0.25,0,0,,Pinsonnault2012,10,-9999,0.89,-9999,1.033,-9999,0.819,-9999,Bellinger2019
8478994,5417,75,0,-9999,0,0,-9999,0,-0.32,0.07,0,,Silva-Aguirre2015,5.68,-9999,0.799,-9999,0.776,-9999,1.732,-9999,Bellinger2019
8494142,6520,95,41,6475,173,166,6207,3.83,-0.67,0,0,,Pinsonnault2012,2.09,-9999,1.458,-9999,1.893,-9999,0.2149,-9999,Bellinger2019
8554498,5969,88,63,6135,132,129,5766,4.04,0.12,0,0,,Pinsonnault2012,3.49,-9999,1.32,-9999,1.84,-9999,0.2126,-9999,Bellinger2019
